 Wvl;         Refl;      St_dev
 526.00000;  10.05600;   1.40870
 527.00000;  10.01267;   1.42872
 528.00000;   9.99933;   1.45234
 529.00000;  10.02400;   1.42192
 530.00000;  10.08267;   1.40795
 531.00000;  10.11400;   1.41595
 532.00000;  10.05667;   1.42191
 533.00000;  10.03333;   1.44187
 534.00000;  10.07400;   1.44713
 535.00000;  10.15267;   1.42311
 536.00000;  10.09800;   1.41606
 537.00000;  10.06400;   1.41818
 538.00000;  10.09267;   1.42027
 539.00000;  10.12533;   1.42035
 540.00000;  10.13133;   1.41866
 541.00000;  10.10933;   1.40860
 542.00000;  10.07467;   1.38920
 543.00000;  10.07933;   1.40249
 544.00000;  10.09333;   1.42235
 545.00000;  10.08533;   1.42432
 546.00000;  10.07533;   1.39410
 547.00000;  10.06333;   1.38316
 548.00000;  10.05200;   1.39740
 549.00000;  10.06800;   1.40589
 550.00000;  10.07400;   1.39989
 551.00000;  10.07533;   1.39505
 552.00000;  10.10000;   1.41687
 553.00000;  10.08200;   1.42644
 554.00000;  10.06133;   1.42608
 555.00000;  10.08600;   1.41952
 556.00000;  10.12200;   1.40150
 557.00000;  10.12667;   1.38901
 558.00000;  10.08733;   1.39457
 559.00000;  10.04600;   1.42260
 560.00000;  10.07067;   1.41799
 561.00000;  10.12733;   1.39009
 562.00000;  10.10133;   1.38591
 563.00000;  10.08733;   1.41880
 564.00000;  10.07067;   1.44028
 565.00000;  10.03467;   1.40882
 566.00000;  10.07200;   1.41365
 567.00000;  10.10667;   1.41362
 568.00000;  10.07800;   1.38471
 569.00000;  10.03000;   1.39144
 570.00000;  10.01467;   1.40424
 571.00000;  10.04800;   1.40448
 572.00000;  10.12000;   1.39402
 573.00000;  10.08267;   1.39002
 574.00000;  10.01333;   1.38737
 575.00000;  10.07000;   1.37379
 576.00000;  10.06333;   1.37751
 577.00000;  10.04267;   1.38772
 578.00000;  10.05867;   1.39193
 579.00000;  10.03800;   1.40118
 580.00000;  10.02067;   1.41020
 581.00000;  10.03733;   1.41189
 582.00000;  10.09467;   1.41664
 583.00000;  10.08600;   1.38956
 584.00000;  10.02667;   1.35818
 585.00000;  10.00933;   1.37758
 586.00000;  10.04000;   1.37992
 587.00000;  10.06333;   1.37001
 588.00000;  10.03067;   1.36449
 589.00000;  10.00000;   1.37916
 590.00000;  10.00667;   1.38749
 591.00000;  10.04267;   1.37751
 592.00000;  10.01200;   1.36509
 593.00000;   9.99600;   1.35673
 594.00000;  10.00933;   1.36221
 595.00000;  10.01267;   1.38902
 596.00000;  10.01133;   1.40176
 597.00000;  10.03133;   1.39617
 598.00000;  10.09733;   1.38740
 599.00000;  10.10267;   1.40421
 600.00000;  10.05533;   1.40962
 601.00000;   9.98800;   1.38026
 602.00000;   9.97867;   1.36284
 603.00000;  10.00333;   1.35535
 604.00000;  10.02733;   1.35857
 605.00000;   9.99067;   1.38330
 606.00000;   9.96867;   1.39544
 607.00000;   9.98667;   1.39635
 608.00000;  10.02200;   1.40332
 609.00000;  10.04533;   1.37412
 610.00000;  10.01133;   1.36763
 611.00000;   9.92133;   1.41943
 612.00000;   9.98000;   1.42115
 613.00000;  10.05533;   1.38828
 614.00000;  10.04067;   1.35392
 615.00000;  10.00867;   1.37171
 616.00000;   9.95733;   1.39761
 617.00000;   9.90800;   1.40218
 618.00000;   9.90533;   1.37847
 619.00000;   9.92400;   1.37214
 620.00000;   9.93600;   1.38159
 621.00000;   9.91533;   1.38634
 622.00000;   9.83533;   1.37492
 623.00000;   9.82600;   1.36608
 624.00000;   9.94867;   1.36960
 625.00000;   9.94867;   1.37039
 626.00000;   9.87933;   1.38196
 627.00000;   9.82067;   1.40617
 628.00000;   9.87467;   1.39832
 629.00000;   9.91000;   1.39349
 630.00000;   9.90467;   1.39383
 631.00000;   9.90333;   1.39987
 632.00000;   9.87400;   1.41572
 633.00000;   9.85267;   1.42709
 634.00000;   9.88867;   1.41217
 635.00000;   9.91067;   1.37318
 636.00000;   9.89067;   1.35637
 637.00000;   9.83400;   1.38718
 638.00000;   9.82467;   1.40676
 639.00000;   9.84467;   1.42009
 640.00000;   9.87800;   1.42609
 641.00000;   9.89333;   1.40324
 642.00000;   9.82667;   1.39939
 643.00000;   9.75400;   1.40958
 644.00000;   9.81267;   1.41056
 645.00000;   9.81000;   1.39469
 646.00000;   9.78000;   1.37738
 647.00000;   9.79067;   1.36870
 648.00000;   9.77400;   1.38417
 649.00000;   9.75667;   1.40241
 650.00000;   9.76800;   1.40368
 651.00000;   9.81333;   1.37623
 652.00000;   9.81267;   1.36809
 653.00000;   9.75667;   1.38664
 654.00000;   9.70267;   1.40227
 655.00000;   9.70667;   1.40968
 656.00000;   9.72333;   1.39689
 657.00000;   9.66867;   1.36448
 658.00000;   9.69267;   1.38185
 659.00000;   9.72600;   1.40138
 660.00000;   9.70000;   1.38264
 661.00000;   9.71000;   1.37340
 662.00000;   9.70800;   1.37982
 663.00000;   9.67400;   1.40040
 664.00000;   9.62667;   1.41320
 665.00000;   9.62733;   1.39306
 666.00000;   9.66133;   1.37442
 667.00000;   9.65867;   1.40176
 668.00000;   9.61000;   1.40141
 669.00000;   9.58067;   1.39282
 670.00000;   9.63867;   1.40550
 671.00000;   9.65800;   1.38531
 672.00000;   9.65000;   1.37665
 673.00000;   9.63133;   1.39325
 674.00000;   9.59933;   1.38431
 675.00000;   9.58133;   1.40083
 676.00000;   9.58533;   1.43184
 677.00000;   9.60067;   1.41150
 678.00000;   9.63133;   1.39516
 679.00000;   9.64733;   1.39773
 680.00000;   9.62067;   1.43012
 681.00000;   9.61533;   1.43260
 682.00000;   9.63267;   1.40865
 683.00000;   9.65467;   1.37662
 684.00000;   9.62533;   1.37953
 685.00000;   9.63067;   1.38746
 686.00000;   9.70600;   1.39267
 687.00000;   9.74200;   1.39710
 688.00000;   9.73067;   1.40250
 689.00000;   9.71067;   1.39802
 690.00000;   9.74733;   1.38080
 691.00000;   9.78667;   1.40750
 692.00000;   9.81800;   1.43480
 693.00000;   9.84867;   1.40491
 694.00000;   9.85533;   1.37961
 695.00000;   9.86067;   1.37851
 696.00000;   9.88000;   1.39570
 697.00000;   9.94800;   1.39930
 698.00000;  10.00133;   1.39197
 699.00000;  10.01733;   1.38836
 700.00000;  10.02133;   1.41443
 701.00000;  10.02733;   1.43519
 702.00000;  10.04933;   1.43414
 703.00000;  10.10867;   1.41480
 704.00000;  10.12933;   1.41274
 705.00000;  10.13800;   1.42104
 706.00000;  10.16467;   1.43264
 707.00000;  10.20333;   1.47169
 708.00000;  10.25600;   1.47654
 709.00000;  10.30600;   1.43866
 710.00000;  10.30533;   1.44549
 711.00000;  10.29133;   1.46198
 712.00000;  10.30400;   1.47459
 713.00000;  10.36400;   1.48561
 714.00000;  10.40400;   1.48840
 715.00000;  10.40533;   1.49358
 716.00000;  10.37867;   1.50613
 717.00000;  10.39000;   1.52414
 718.00000;  10.41400;   1.54676
 719.00000;  10.42067;   1.55872
 720.00000;  10.40000;   1.54652
 721.00000;  10.40267;   1.54517
 722.00000;  10.44600;   1.55748
 723.00000;  10.54333;   1.56904
 724.00000;  10.59267;   1.56395
 725.00000;  10.57333;   1.55086
 726.00000;  10.52133;   1.55007
 727.00000;  10.49867;   1.56394
 728.00000;  10.51600;   1.57075
 729.00000;  10.56200;   1.55914
 730.00000;  10.56533;   1.55288
 731.00000;  10.60333;   1.58209
 732.00000;  10.66867;   1.63043
 733.00000;  10.66267;   1.59789
 734.00000;  10.64400;   1.57394
 735.00000;  10.64667;   1.57546
 736.00000;  10.69933;   1.58917
 737.00000;  10.69800;   1.61621
 738.00000;  10.68667;   1.63402
 739.00000;  10.71733;   1.62355
 740.00000;  10.80267;   1.60267
 741.00000;  10.81600;   1.59993
 742.00000;  10.73800;   1.62018
 743.00000;  10.74467;   1.62684
 744.00000;  10.77933;   1.63744
 745.00000;  10.82467;   1.64224
 746.00000;  10.85933;   1.60469
 747.00000;  10.81533;   1.60350
 748.00000;  10.78733;   1.63248
 749.00000;  10.86400;   1.66071
 750.00000;  10.92133;   1.64709
 751.00000;  10.90867;   1.63756
 752.00000;  10.84333;   1.65831
 753.00000;  10.85267;   1.66952
 754.00000;  10.88200;   1.67454
 755.00000;  10.91800;   1.66159
 756.00000;  10.96200;   1.61043
 757.00000;  10.90800;   1.59849
 758.00000;  10.85600;   1.61442
 759.00000;  10.94000;   1.62674
 760.00000;  11.01467;   1.60455
 761.00000;  11.04933;   1.56331
 762.00000;  10.98600;   1.58080
 763.00000;  10.76133;   1.62532
 764.00000;  10.80267;   1.64355
 765.00000;  10.99667;   1.63128
 766.00000;  11.01733;   1.62410
 767.00000;  11.00600;   1.65268
 768.00000;  10.98733;   1.67945
 769.00000;  10.97267;   1.68455
 770.00000;  10.97533;   1.68772
 771.00000;  11.01267;   1.67424
 772.00000;  11.06933;   1.64505
 773.00000;  11.02667;   1.64249
 774.00000;  11.00133;   1.66344
 775.00000;  11.01267;   1.68169
 776.00000;  11.01933;   1.63083
 777.00000;  11.05200;   1.62254
 778.00000;  11.07267;   1.64190
 779.00000;  11.04467;   1.65304
 780.00000;  11.05667;   1.68151
 781.00000;  11.08067;   1.69177
 782.00000;  11.08600;   1.66959
 783.00000;  11.09000;   1.63802
 784.00000;  11.06067;   1.63505
 785.00000;  11.02467;   1.64882
 786.00000;  11.03933;   1.65324
 787.00000;  11.07200;   1.65771
 788.00000;  11.07800;   1.65259
 789.00000;  11.04200;   1.63649
 790.00000;  11.06067;   1.66408
 791.00000;  11.12867;   1.66120
 792.00000;  11.19533;   1.61897
 793.00000;  11.09533;   1.64468
 794.00000;  11.06267;   1.66616
 795.00000;  11.09867;   1.67785
 796.00000;  11.09400;   1.68314
 797.00000;  11.12933;   1.69045
 798.00000;  11.16400;   1.70500
 799.00000;  11.15000;   1.71874
 800.00000;  11.12400;   1.68726
 801.00000;  11.12933;   1.67135
 802.00000;  11.17200;   1.67868
 803.00000;  11.20400;   1.60515
 804.00000;  11.13467;   1.61122
 805.00000;  11.04867;   1.68096
 806.00000;  11.08533;   1.72035
 807.00000;  11.09533;   1.70681
 808.00000;  11.12067;   1.67064
 809.00000;  11.17467;   1.63842
 810.00000;  11.12067;   1.62524
 811.00000;  11.08600;   1.66492
 812.00000;  11.10800;   1.73422
 813.00000;  11.13667;   1.73683
 814.00000;  11.09267;   1.69339
 815.00000;  11.04667;   1.66221
 816.00000;  11.08933;   1.70049
 817.00000;  11.12400;   1.73106
 818.00000;  11.17267;   1.68335
 819.00000;  11.20933;   1.59509
 820.00000;  11.09600;   1.68979
 821.00000;  11.09867;   1.69245
 822.00000;  11.18200;   1.62086
 823.00000;  11.16600;   1.61853
 824.00000;  11.08733;   1.65091
 825.00000;  11.05800;   1.68586
 826.00000;  11.12667;   1.70443
 827.00000;  11.22000;   1.71668
 828.00000;  11.23133;   1.65767
 829.00000;  11.15400;   1.58789
 830.00000;  11.08333;   1.68666
 831.00000;  11.00667;   1.74058
 832.00000;  10.97800;   1.72034
 833.00000;  11.05067;   1.67186
 834.00000;  11.19333;   1.62010
 835.00000;  11.20000;   1.59468
 836.00000;  11.04000;   1.61403
 837.00000;  10.92867;   1.71452
 838.00000;  10.99733;   1.68404
 839.00000;  11.14467;   1.57777
 840.00000;  11.16600;   1.57595
 841.00000;  11.10867;   1.62603
 842.00000;  11.08600;   1.67255
 843.00000;  11.14467;   1.68102
 844.00000;  11.12200;   1.66474
 845.00000;  11.19067;   1.63443
 846.00000;  11.25733;   1.60623
 847.00000;  11.06000;   1.60597
 848.00000;  11.03333;   1.63383
 849.00000;  11.10467;   1.63928
 850.00000;  11.12533;   1.60060
 851.00000;  11.04600;   1.62082
 852.00000;  11.04067;   1.65583
 853.00000;  11.11800;   1.67238
 854.00000;  11.07867;   1.66640
 855.00000;  11.02400;   1.64770
 856.00000;  10.99667;   1.66091
 857.00000;  11.01600;   1.71165
 858.00000;  11.03600;   1.69587
 859.00000;  11.08600;   1.65222
 860.00000;  11.11333;   1.62586
 861.00000;  10.90933;   1.67865
 862.00000;  10.88000;   1.73330
 863.00000;  10.98800;   1.70140
 864.00000;  11.05867;   1.55699
 865.00000;  11.10133;   1.52572
 866.00000;  11.02867;   1.56630
 867.00000;  10.86467;   1.64800
 868.00000;  10.85533;   1.69796
 869.00000;  10.98667;   1.61295
 870.00000;  11.11800;   1.52376
 871.00000;  11.08400;   1.57275
 872.00000;  11.09733;   1.63194
 873.00000;  11.07400;   1.68982
 874.00000;  11.00867;   1.70950
 875.00000;  11.10533;   1.60671
 876.00000;  11.12933;   1.53779
 877.00000;  11.09533;   1.52755
 878.00000;  11.12200;   1.55030
 879.00000;  11.21000;   1.65240
 880.00000;  11.18333;   1.70975
 881.00000;  10.99533;   1.66331
 882.00000;  10.90333;   1.65788
 883.00000;  10.96267;   1.66937
 884.00000;  11.06267;   1.64242
 885.00000;  11.03067;   1.53790
 886.00000;  11.08733;   1.59025
 887.00000;  11.05733;   1.66984
 888.00000;  10.93867;   1.65001
 889.00000;  11.17867;   1.59199
 890.00000;  11.23667;   1.50097
 891.00000;  11.05333;   1.50084
 892.00000;  10.81467;   1.69779
 893.00000;  10.89467;   1.72120
 894.00000;  11.07200;   1.61247
 895.00000;  11.15733;   1.49339
 896.00000;  11.12533;   1.45437
 897.00000;  11.03067;   1.53178
 898.00000;  10.95333;   1.67364
 899.00000;  10.99067;   1.75193
